Dimension,Modalites,Indicateurs,Chapitre_annuaire,Année,Valeurs
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,24006
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,24272
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Total,Effectif de la population,Chap2.1_Population,2018,48278
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,20272
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,18803
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Total,Effectif de la population,Chap2.1_Population,2018,39075
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,15513
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,14831
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Total,Effectif de la population,Chap2.1_Population,2018,30344
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,11833
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,13241
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Total,Effectif de la population,Chap2.1_Population,2018,25074
Région / Groupe d'âges / Sexe,GONTOUGO / 50  - 54 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,9282
Région / Groupe d'âges / Sexe,GONTOUGO / 50  - 54 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,11478
Région / Groupe d'âges / Sexe,GONTOUGO / 50  - 54 ans / Total,Effectif de la population,Chap2.1_Population,2018,20760
Région / Groupe d'âges / Sexe,GONTOUGO / 55 - 59 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,6839
Région / Groupe d'âges / Sexe,GONTOUGO / 55 - 59 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,8408
Région / Groupe d'âges / Sexe,GONTOUGO / 55 - 59 ans / Total,Effectif de la population,Chap2.1_Population,2018,15247
Région / Groupe d'âges / Sexe,GONTOUGO / 60 - 64 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,5732
Région / Groupe d'âges / Sexe,GONTOUGO / 60 - 64 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,7069
Région / Groupe d'âges / Sexe,GONTOUGO / 60 - 64 ans / Total,Effectif de la population,Chap2.1_Population,2018,12801
Région / Groupe d'âges / Sexe,GONTOUGO / 65 - 69 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,4180
Région / Groupe d'âges / Sexe,GONTOUGO / 65 - 69 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,5955
Région / Groupe d'âges / Sexe,GONTOUGO / 65 - 69 ans / Total,Effectif de la population,Chap2.1_Population,2018,10135
Région / Groupe d'âges / Sexe,GONTOUGO / 70 - 74 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,2903
Région / Groupe d'âges / Sexe,GONTOUGO / 70 - 74 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,4174
Région / Groupe d'âges / Sexe,GONTOUGO / 70 - 74 ans / Total,Effectif de la population,Chap2.1_Population,2018,7077
Région / Groupe d'âges / Sexe,GONTOUGO / 75 - 79 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,1901
Région / Groupe d'âges / Sexe,GONTOUGO / 75 - 79 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,2477
Région / Groupe d'âges / Sexe,GONTOUGO / 75 - 79 ans / Total,Effectif de la population,Chap2.1_Population,2018,4378
Région / Groupe d'âges / Sexe,GONTOUGO / 80 - 84 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,1098
Région / Groupe d'âges / Sexe,GONTOUGO / 80 - 84 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,1639
Région / Groupe d'âges / Sexe,GONTOUGO / 80 - 84 ans / Total,Effectif de la population,Chap2.1_Population,2018,2737
Région / Groupe d'âges / Sexe,GONTOUGO / 85 - 89 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,414
Région / Groupe d'âges / Sexe,GONTOUGO / 85 - 89 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,500
Région / Groupe d'âges / Sexe,GONTOUGO / 85 - 89 ans / Total,Effectif de la population,Chap2.1_Population,2018,914
Région / Groupe d'âges / Sexe,GONTOUGO / 90 - 94 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,204
